LETSDEFEND TAKİP - letsdefend_courses (1)
NO;LINK;ROLE;PATH;COURSE NAME;DETAIL;LESSONS IN COURSE;TOTAL LESSONS;LESSON QUESTIONS;LESSON QUIZ;"DURATION 
(MIN)";RELATED CHALLENGE;DIFFICULTY;BADGE OR CERTIFICATE;SUBSCRIPTION;TOOLS;TOOL TYPES;TARGET;WRITEUP LINK;isReady to Writeup ?;EXTRA INFO
1;https://app.letsdefend.io/training/lessons/network-fundamentals;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
Google Cybersecurity Certificate Preparation Path
CompTIA CySA+ Preparation Path";Network Fundamentals;Every SOC Analyst needs to understand how the network works. With this strong basic knowledge, other technical stuff will be easier to understand.;"About Network Fundamentals Course
Introduction to Network Fundamentals
Types of Networks
Network Topologies
OSI Reference Model
Network Devices
TCP/IP Model
IP Addressing Mechanism
Network Address Translation (NAT)";9;16;1;90;-;Beginner;Badge;Free;-;-;Network;https://medium.com/traditional-cyber-security/letsdefend-network-fundamentals-course-writeup-84e67ff4fe01;Done;-
2;https://app.letsdefend.io/training/lessons/soc-fundamentals;Security Analyst;"Google Cybersecurity Certificate Preparation Path
CompTIA CySA+ Preparation Path
SOC Analyst Learning Path";SOC Fundamentals;This training explains how SOC works and which tools we use for investigation. Very good start for beginners.;"Introduction to SOC
SOC Types and Roles
SOC Analyst and Their Responsibilities
SIEM and Analyst Relationship
Log Management
EDR - Endpoint Detection and Response
SOAR (Security Orchestration Automation and Response)
Threat Intelligence Feed
Common Mistakes made by SOC Analysts";9;11;1;30;-;Beginner;Badge;Free;;;Mixed;-;No;-
3;https://app.letsdefend.io/training/lessons/linux-for-blue-team;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
Google Cybersecurity Certificate Preparation Path
CompTIA CySA+ Preparation Path";Linux for Blue Team;Linux fundamentals for getting started in cybersecurity;"About This Course
Introduction to Linux
Linux File System Hierarchy
Basic Terminal Commands - 1
Basic Terminal Commands - 2
Permissions Management
User Management and Groups
Archive File Formats
Process Management
Network Management
Package Management
Service Management
Scheduled Tasks";13;21;1;240;-;Beginner;Badge;Free;-;-;Linux;-;Done;-
4;https://app.letsdefend.io/training/lessons/siem-101;Security Analyst;"SIEM Engineer Career Path
Google Cybersecurity Certificate Preparation Path
SOC Analyst Learning Path";SIEM 101;What do SOC Analysts need to know about SIEM?;"SIEM Introduction
Log Collection
Log Aggregation and Parsing
Log Storage
Alerting";5;8;1;30;-;Beginner;Badge;Free;-;-;Mixed;-;Done;-
5;https://app.letsdefend.io/training/lessons/phishing-email-analysis;Security Analyst;"CompTIA CySA+ Preparation Path
SOC Analyst Learning Path";Phishing Email Analysis;Learn how to analysis of the most common attack vector in the cyber security industry.;"Introduction to Phishing
Information Gathering
What is an Email Header and How to Read Them?
Email Header Analysis
Static Analysis
Dynamic Analysis
Additional Techniques
Practice with SOC Alert
86 - SOC141 - Phishing URL Detected
82 - SOC140 - Phishing Mail Detected - Suspicious Task Scheduler
52 - SOC120 - Phishing Mail Detected - Internal to Internal
45 - SOC114 - Malicious Attachment Detected - Phishing Alert
CHALLENGE - Phishing Email";7;11;1;60;1;Beginner;Badge;Free;;;Mixed;-;No;-
6;https://app.letsdefend.io/training/lessons/windows-fundamentals;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
CompTIA CySA+ Preparation Path";Windows Fundamentals;As a SOC Analyst or an analyst candidate, you should learn Windows operating system fundamentals.;"About the Windows Fundamentals Course
Introduction to Windows
Windows Filesystems
Directory Structure
Windows Command Line
Windows Users and Groups
Permissions Management on Windows
Windows Process Management
Windows Services
Task Scheduler Windows
Windows Registry
Windows Firewall
Event Logs
Windows Management Instrumentation (WMI)";14;32;1;240;-;Beginner;Badge;Free;Process Hacker;Forensics Tools;Mixed;-;Done;-
7;https://app.letsdefend.io/training/lessons/data-management;Security Analyst;-;Data Management;Learn how to manage your data in the corporate network;"Introduction to Data Management
Data Models
Building a Database Lab
SQL(Structured Query Language)
SQL(Structured Query Language) - 2
SQL(Structured Query Language) - 3";6;26;1;60;-;Beginner;Badge;Premium;;;Mixed;-;No;-
8;https://app.letsdefend.io/training/lessons/identifying-threats-and-malicious-software;Incident Responder;-;Identifying Threats and Malicious Software;Learn to identify common threats and malicious software in this cybersecurity course on LetsDefend.;"Introduction
System Vulnerabilities and Security Measures
Key Threats and Mitigation Strategies
Physical Security Threats
Understanding Malicious Software
Various Types of Malicious Software
Hardware and Device Considerations
Recap the Lessons for Security+";8;19;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
9;https://app.letsdefend.io/training/lessons/understanding-types-of-attacks;Incident Responder;-;Understanding Types of Attacks;"Master cyber threats with the ""Understanding Types of Attacks"" course for CompTIA Security+ on LetsDefend. Learn key attack types and defense strategies!";"Introduction
Understanding Social Engineering
Social Engineering Attacks
Identifying Network Attacks
Network-Based Attacks and Prevention Strategies
Understanding Password-Based Attacks
Recap of Understanding Types of Attacks";7;17;1;45;-;Easy;Badge;Premium;;;Mixed;-;No;-
10;https://app.letsdefend.io/training/lessons/threat-hunting-tools;Threat Hunter;-;Threat Hunting Tools;Discover key techniques in threat hunting tools, mastering cybersecurity strategies and fortifying your digital defenses with practical, in-depth training.;"Categories of Threat Hunting Tools
Data Collection Tools
Data Analysis Tools
Network Monitoring Tools
Endpoint Detection and Response (EDR) Tools
Cyber Threat Intelligence (CTI) Tools
Integration and Automation of Threat Hunting Tools";7;11;1;90;-;Easy;Badge;Premium;;;Mixed;-;No;-
